frame,site,drive,pose,landing_x,landing_y,landing_z,northing,easting,planetocentric_latitude,planetodetic_latitude,longitude,elevation,map_pixel_line,map_pixel_sample,dem_pixel_line,dem_pixel_sample,roll,pitch,yaw,quat_s,quat_v1,quat_v2,quat_v3,sclk,sol
ROVER,113,2358,4,-11875.241,-2992.593,-844.254,-283914.509,8143818.630,-4.789809500,-4.846427595,137.391146144,-3656.746,49602.04,11122.52,12401.43,2781.14,-1.192,6.167,166.350,0.118101545,-0.054644812,-0.003922170,0.991489050,793968688,4466
ROVER,113,2364,2,-11876.229,-2992.355,-844.337,-283915.497,8143818.868,-4.789826164,-4.846444456,137.391150155,-3656.663,49605.99,11123.47,12402.42,2781.38,-0.564,6.838,166.818,0.114282474,-0.059806630,0.001963248,0.991644500,793968850,4466
ROVER,113,2370,4,-11877.088,-2992.153,-844.474,-283916.356,8143819.070,-4.789840662,-4.846459123,137.391153562,-3656.526,49609.43,11124.28,12403.28,2781.58,-2.372,6.079,166.795,0.113702500,-0.055033796,-0.014437791,0.991884350,793968922,4466
ROVER,113,2376,4,-11877.993,-2991.986,-844.587,-283917.261,8143819.237,-4.789855924,-4.846474563,137.391156376,-3656.413,49613.04,11124.95,12404.19,2781.74,-0.721,5.038,171.726,0.071792230,-0.044289842,-0.003095897,0.996431000,793968976,4466
ROVER,113,2382,4,-11878.887,-2991.850,-844.616,-283918.155,8143819.373,-4.789871001,-4.846489817,137.391158675,-3656.384,49616.62,11125.49,12405.08,2781.88,-1.262,4.112,172.373,0.066063970,-0.036522742,-0.008593215,0.997109700,793969037,4466
ROVER,113,2388,4,-11879.938,-2991.702,-844.745,-283919.206,8143819.521,-4.789888736,-4.846507759,137.391161179,-3656.255,49620.82,11126.09,12406.13,2782.03,0.575,5.202,172.483,0.065712100,-0.044954807,0.007981028,0.996793500,793969126,4466
ROVER,113,2394,6,-11880.137,-2991.668,-844.748,-283919.405,8143819.555,-4.789892096,-4.846511159,137.391161746,-3656.252,49621.62,11126.22,12406.33,2782.06,1.293,6.883,172.577,0.065289240,-0.059168432,0.015125599,0.995995800,793969179,4466
ROVER,113,2400,4,-11880.270,-2991.658,-844.740,-283919.538,8143819.565,-4.789894340,-4.846513429,137.391161925,-3656.260,49622.15,11126.26,12406.46,2782.07,0.768,7.708,172.761,0.063435760,-0.066654816,0.010913159,0.995697740,794231368,4469
ROVER,113,2406,2,-11880.786,-2991.530,-844.817,-283920.054,8143819.693,-4.789903040,-4.846522232,137.391164077,-3656.183,49624.22,11126.77,12406.98,2782.20,-2.119,9.239,159.928,0.172200860,-0.082506400,-0.004118060,0.981591900,794231465,4469
ROVER,113,2412,4,-11881.408,-2991.223,-844.904,-283920.676,8143820.000,-4.789913529,-4.846532843,137.391169259,-3656.096,49626.70,11128.00,12407.60,2782.51,-4.355,5.248,149.749,0.258790640,-0.054071505,-0.024705480,0.964102300,794231518,4469
ROVER,113,2418,4,-11882.177,-2990.727,-844.937,-283921.445,8143820.496,-4.789926507,-4.846545972,137.391177631,-3656.063,49629.78,11129.99,12408.37,2783.00,-3.829,3.477,144.964,0.299733600,-0.038966767,-0.022718644,0.952956000,794231570,4469
ROVER,113,2424,4,-11882.936,-2990.187,-844.999,-283922.204,8143821.036,-4.789939313,-4.846558929,137.391186732,-3656.001,49632.82,11132.14,12409.13,2783.54,-3.969,5.615,144.730,0.300790520,-0.057131470,-0.018128823,0.951804800,794231632,4469
ROVER,113,2430,4,-11883.706,-2989.636,-845.144,-283922.974,8143821.587,-4.789952300,-4.846572067,137.391196024,-3655.856,49635.89,11134.35,12409.90,2784.09,-5.174,10.023,145.015,0.295367120,-0.096746564,-0.016656196,0.950326740,794231691,4469
ROVER,113,2436,4,-11884.483,-2989.078,-845.272,-283923.751,8143822.145,-4.789965412,-4.846585333,137.391205442,-3655.728,49639.00,11136.58,12410.68,2784.65,-5.873,9.412,145.403,0.291947040,-0.093410365,-0.024387260,0.951549650,794231740,4469
ROVER,113,2442,4,-11885.193,-2988.638,-845.340,-283924.461,8143822.585,-4.789977393,-4.846597455,137.391212861,-3655.660,49641.84,11138.34,12411.39,2785.09,-3.469,7.061,150.175,0.254937350,-0.067253366,-0.013355778,0.964523500,794231814,4469
ROVER,113,2448,2,-11886.083,-2988.192,-845.392,-283925.351,8143823.031,-4.789992398,-4.846612635,137.391220390,-3655.608,49645.40,11140.12,12412.28,2785.54,-2.676,2.242,155.930,0.207969710,-0.023998820,-0.018758500,0.977660900,794231908,4469
ROVER,113,2454,4,-11886.753,-2987.892,-845.424,-283926.021,8143823.331,-4.790003716,-4.846624086,137.391225446,-3655.576,49648.09,11141.32,12412.95,2785.84,-0.794,3.486,155.856,0.208830500,-0.031191673,-0.000409915,0.977454200,794231962,4469
ROVER,113,2460,4,-11887.638,-2987.506,-845.488,-283926.906,8143823.717,-4.790018647,-4.846639192,137.391231960,-3655.512,49651.63,11142.87,12413.83,2786.22,1.804,4.785,159.807,0.175776400,-0.038332533,0.022803713,0.983419200,794232021,4469
ROVER,113,2466,4,-11888.484,-2987.197,-845.595,-283927.752,8143824.026,-4.790032911,-4.846653622,137.391237171,-3655.405,49655.01,11144.10,12414.68,2786.53,1.556,5.180,160.230,0.172085700,-0.042181015,0.021117793,0.983951870,794232081,4469
ROVER,113,2472,4,-11889.368,-2986.871,-845.663,-283928.636,8143824.352,-4.790047819,-4.846668705,137.391242668,-3655.337,49658.54,11145.41,12415.56,2786.86,2.650,6.264,159.494,0.178923960,-0.049638715,0.032444898,0.982074100,794232140,4469
ROVER,113,2478,2,-11890.336,-2986.641,-845.780,-283929.604,8143824.582,-4.790064152,-4.846685229,137.391246553,-3655.220,49662.41,11146.33,12416.53,2787.09,3.313,5.513,173.801,0.055374574,-0.046442706,0.031432550,0.996889530,794232242,4469
ROVER,113,2484,4,-11891.161,-2986.583,-845.844,-283930.429,8143824.640,-4.790078068,-4.846699309,137.391247542,-3655.156,49665.71,11146.56,12417.35,2787.15,4.402,4.051,177.625,0.022055311,-0.034514520,0.039101496,0.998395400,794232299,4469
